SCORES:

Best fitness value of:  	28	 in room number 	2
Worst fitness value of: 	115	 in room number 	47
Average fitness value:  	68
-------------------------------------------------------------
SEARCH PARAMETERS:

Starting temperature:            	1000
Proportional Reduction:          	0.95
-------------------------------------------------------------
PROGRAM INFORMATION:
Total swaps attempted:           	951001
Total swaps completed:           	148294
-------------------------------------------------------------
ROOM ASSIGNMENTS:

Room 1	----> 		Fitness Score of 32	 	 Students inside {88, 198, 74, 36}
Room 2	----> 		Fitness Score of 28	 	 Students inside {147, 124, 28, 172}
Room 3	----> 		Fitness Score of 91	 	 Students inside {186, 127, 50, 153}
Room 4	----> 		Fitness Score of 99	 	 Students inside {0, 95, 21, 31}
Room 5	----> 		Fitness Score of 52	 	 Students inside {184, 12, 191, 76}
Room 6	----> 		Fitness Score of 48	 	 Students inside {79, 37, 193, 106}
Room 7	----> 		Fitness Score of 62	 	 Students inside {46, 85, 102, 62}
Room 8	----> 		Fitness Score of 84	 	 Students inside {71, 91, 97, 136}
Room 9	----> 		Fitness Score of 71	 	 Students inside {18, 26, 158, 53}
Room 10	----> 		Fitness Score of 51	 	 Students inside {103, 2, 189, 141}
Room 11	----> 		Fitness Score of 42	 	 Students inside {34, 60, 84, 182}
Room 12	----> 		Fitness Score of 57	 	 Students inside {139, 142, 65, 196}
Room 13	----> 		Fitness Score of 66	 	 Students inside {4, 188, 99, 120}
Room 14	----> 		Fitness Score of 39	 	 Students inside {173, 27, 169, 7}
Room 15	----> 		Fitness Score of 36	 	 Students inside {67, 89, 8, 80}
Room 16	----> 		Fitness Score of 95	 	 Students inside {14, 145, 192, 69}
Room 17	----> 		Fitness Score of 97	 	 Students inside {52, 42, 109, 96}
Room 18	----> 		Fitness Score of 84	 	 Students inside {90, 41, 156, 144}
Room 19	----> 		Fitness Score of 29	 	 Students inside {138, 134, 63, 185}
Room 20	----> 		Fitness Score of 73	 	 Students inside {123, 100, 20, 135}
Room 21	----> 		Fitness Score of 78	 	 Students inside {49, 5, 160, 94}
Room 22	----> 		Fitness Score of 39	 	 Students inside {25, 45, 54, 163}
Room 23	----> 		Fitness Score of 46	 	 Students inside {125, 81, 82, 16}
Room 24	----> 		Fitness Score of 49	 	 Students inside {98, 131, 111, 23}
Room 25	----> 		Fitness Score of 101	 	 Students inside {68, 149, 83, 87}
Room 26	----> 		Fitness Score of 67	 	 Students inside {108, 101, 190, 122}
Room 27	----> 		Fitness Score of 68	 	 Students inside {137, 29, 107, 110}
Room 28	----> 		Fitness Score of 104	 	 Students inside {73, 197, 115, 116}
Room 29	----> 		Fitness Score of 61	 	 Students inside {11, 166, 128, 162}
Room 30	----> 		Fitness Score of 79	 	 Students inside {175, 92, 132, 105}
Room 31	----> 		Fitness Score of 94	 	 Students inside {24, 179, 176, 44}
Room 32	----> 		Fitness Score of 80	 	 Students inside {180, 181, 155, 30}
Room 33	----> 		Fitness Score of 48	 	 Students inside {78, 171, 148, 119}
Room 34	----> 		Fitness Score of 82	 	 Students inside {151, 194, 133, 178}
Room 35	----> 		Fitness Score of 77	 	 Students inside {39, 13, 19, 140}
Room 36	----> 		Fitness Score of 55	 	 Students inside {72, 43, 170, 129}
Room 37	----> 		Fitness Score of 101	 	 Students inside {17, 22, 33, 199}
Room 38	----> 		Fitness Score of 66	 	 Students inside {86, 187, 112, 177}
Room 39	----> 		Fitness Score of 38	 	 Students inside {168, 58, 9, 35}
Room 40	----> 		Fitness Score of 109	 	 Students inside {161, 114, 195, 48}
Room 41	----> 		Fitness Score of 84	 	 Students inside {70, 121, 146, 113}
Room 42	----> 		Fitness Score of 51	 	 Students inside {3, 126, 143, 174}
Room 43	----> 		Fitness Score of 48	 	 Students inside {130, 118, 1, 154}
Room 44	----> 		Fitness Score of 43	 	 Students inside {61, 55, 183, 104}
Room 45	----> 		Fitness Score of 50	 	 Students inside {164, 77, 167, 165}
Room 46	----> 		Fitness Score of 100	 	 Students inside {117, 64, 56, 15}
Room 47	----> 		Fitness Score of 115	 	 Students inside {75, 38, 6, 157}
Room 48	----> 		Fitness Score of 91	 	 Students inside {32, 10, 150, 93}
Room 49	----> 		Fitness Score of 65	 	 Students inside {51, 57, 159, 152}
Room 50	----> 		Fitness Score of 82	 	 Students inside {59, 47, 66, 40}
